id,rank,zip,city,all_home_purchases,investor_purchases,share_of_sales,under25,from25to50,from50to75,from75to100,from100to200,from200plus
0,1,33019,"Fort Lauderdale, FL",1428,493,35%,28,17,17,16,13,9
1,2,33313,"Fort Lauderdale, FL",1176,404,34%,55,2,0,30,9,3
2,3,33020,"Fort Lauderdale, FL",958,312,33%,46,6,1,30,12,5
3,4,33311,"Fort Lauderdale, FL",1160,347,30%,55,3,1,29,9,3
4,5,33304,"Fort Lauderdale, FL",983,286,29%,30,14,12,22,14,8
5,6,33316,"Fort Lauderdale, FL",509,129,25%,25,15,19,20,13,9
6,7,33309,"Fort Lauderdale, FL",874,213,24%,43,6,1,30,13,6
7,8,33009,"Fort Lauderdale, FL",1872,442,24%,47,7,3,26,12,6
8,9,33306,"Fort Lauderdale, FL",187,44,24%,26,16,15,21,13,8
9,10,33004,"Fort Lauderdale, FL",388,91,23%,42,8,2,28,13,6
10,11,33315,"Fort Lauderdale, FL",521,121,23%,32,14,7,24,14,9
11,12,33301,"Fort Lauderdale, FL",983,223,23%,20,19,22,15,14,10
12,13,33068,"Fort Lauderdale, FL",861,193,22%,49,3,0,31,12,5
13,14,33312,"Fort Lauderdale, FL",1063,237,22%,42,9,4,27,13,6
14,15,33060,"Fort Lauderdale, FL",717,157,22%,45,9,4,26,11,6
15,16,33314,"Fort Lauderdale, FL",377,82,22%,42,7,2,29,13,7
16,17,33064,"Fort Lauderdale, FL",1370,295,22%,46,6,4,27,11,5
17,18,33332,"Fort Lauderdale, FL",235,49,21%,27,20,23,14,9,7
18,19,33023,"Fort Lauderdale, FL",882,180,20%,49,4,0,30,12,5
19,20,33025,"Fort Lauderdale, FL",1083,219,20%,39,8,1,29,15,8
20,21,33305,"Fort Lauderdale, FL",623,124,20%,25,16,15,21,14,9
21,22,33062,"Fort Lauderdale, FL",1638,324,20%,27,18,13,18,14,9
22,23,33334,"Fort Lauderdale, FL",932,184,20%,37,11,4,26,14,8
23,24,33308,"Fort Lauderdale, FL",1600,302,19%,25,18,16,18,13,10
24,25,33065,"Fort Lauderdale, FL",1063,199,19%,42,9,2,28,13,7
25,26,33441,"Fort Lauderdale, FL",697,126,18%,42,9,4,27,12,6
26,27,33021,"Fort Lauderdale, FL",1189,208,17%,36,13,5,24,14,8
27,28,33323,"Fort Lauderdale, FL",479,79,16%,29,17,6,21,15,11
28,29,33351,"Fort Lauderdale, FL",607,97,16%,39,8,1,29,15,8
29,30,33069,"Fort Lauderdale, FL",862,133,15%,41,8,2,28,14,7
30,31,33317,"Fort Lauderdale, FL",677,97,14%,36,14,5,24,13,8
31,32,33319,"Fort Lauderdale, FL",1599,227,14%,45,6,1,30,13,6
32,33,33024,"Fort Lauderdale, FL",1264,178,14%,39,9,2,28,14,7
33,34,33331,"Fort Lauderdale, FL",462,63,14%,27,23,16,15,10,9
34,35,33330,"Fort Lauderdale, FL",302,40,13%,26,20,20,15,11,8
35,36,33326,"Fort Lauderdale, FL",747,98,13%,32,18,10,19,13,9
36,37,33071,"Fort Lauderdale, FL",856,109,13%,32,18,7,22,13,9
37,38,33324,"Fort Lauderdale, FL",1164,144,12%,31,13,6,24,16,10
38,39,33027,"Fort Lauderdale, FL",1563,190,12%,34,17,6,20,14,9
39,40,33067,"Fort Lauderdale, FL",562,68,12%,28,20,15,18,12,8
40,41,33073,"Fort Lauderdale, FL",615,71,12%,34,15,4,23,15,9
41,42,33321,"Fort Lauderdale, FL",1661,184,11%,38,8,1,28,16,8
42,43,33328,"Fort Lauderdale, FL",610,67,11%,28,20,10,19,13,9
43,44,33327,"Fort Lauderdale, FL",537,58,11%,29,20,22,13,9,7
44,45,33325,"Fort Lauderdale, FL",487,50,10%,35,15,7,22,13,9
45,46,33076,"Fort Lauderdale, FL",863,87,10%,24,23,23,12,10,8
46,47,33063,"Fort Lauderdale, FL",1468,146,10%,40,8,1,28,15,8
47,48,33028,"Fort Lauderdale, FL",415,35,8%,29,21,8,19,12,10
48,49,33442,"Fort Lauderdale, FL",1321,109,8%,36,11,3,25,16,9
49,50,33026,"Fort Lauderdale, FL",702,55,8%,30,16,6,21,16,11
50,51,33322,"Fort Lauderdale, FL",1333,100,8%,36,12,3,25,15,8
51,52,33029,"Fort Lauderdale, FL",740,50,7%,30,22,9,18,12,9
52,53,33066,"Fort Lauderdale, FL",825,34,4%,36,10,2,27,16,10
53,1,32209,"Jacksonville, FL",565,323,57%,61,1,0,30,6,2
54,2,32208,"Jacksonville, FL",655,319,49%,51,3,0,33,10,3
55,3,32254,"Jacksonville, FL",321,146,45%,56,2,0,32,8,3
56,4,32244,"Jacksonville, FL",1087,462,43%,39,6,1,33,14,7
57,5,32218,"Jacksonville, FL",1082,458,42%,35,10,1,31,16,8
58,6,32222,"Jacksonville, FL",276,116,42%,30,11,1,30,17,11
59,7,32206,"Jacksonville, FL",298,125,42%,57,3,1,28,8,3
60,8,32219,"Jacksonville, FL",230,96,42%,38,8,1,31,15,8
61,9,32221,"Jacksonville, FL",476,183,38%,33,11,1,28,16,10
62,10,32211,"Jacksonville, FL",648,242,37%,45,5,1,31,12,6
63,11,32210,"Jacksonville, FL",1321,466,35%,41,6,3,32,12,6
64,12,32068,"Jacksonville, FL",864,303,35%,32,12,2,26,16,11
65,13,32073,"Jacksonville, FL",777,267,34%,33,12,2,29,15,9
66,14,32277,"Jacksonville, FL",543,182,34%,40,8,1,31,13,7
67,15,32043,"Jacksonville, FL",583,186,32%,27,18,5,22,16,11
68,16,32204,"Jacksonville, FL",138,44,32%,36,10,5,27,14,7
69,17,32220,"Jacksonville, FL",172,54,31%,33,12,2,29,15,10
70,18,32065,"Jacksonville, FL",911,281,31%,31,15,2,25,16,11
71,19,32226,"Jacksonville, FL",468,135,29%,26,19,4,23,16,12
72,20,32205,"Jacksonville, FL",875,234,27%,35,9,4,30,15,7
73,21,32246,"Jacksonville, FL",950,244,26%,34,12,3,28,15,9
74,22,32225,"Jacksonville, FL",1034,248,24%,29,15,4,26,16,10
75,23,32207,"Jacksonville, FL",750,177,24%,36,10,7,27,13,7
76,24,32257,"Jacksonville, FL",746,175,23%,32,13,4,27,15,10
77,25,32216,"Jacksonville, FL",732,171,23%,36,9,2,30,15,8
78,26,32097,"Jacksonville, FL",512,115,22%,30,16,2,24,16,12
79,27,32092,"Jacksonville, FL",1246,252,20%,23,27,9,16,13,12
80,28,32223,"Jacksonville, FL",554,112,20%,26,20,8,21,15,10
81,29,32084,"Jacksonville, FL",1169,233,20%,38,10,4,27,14,8
82,30,32258,"Jacksonville, FL",1001,177,18%,25,20,4,23,17,12
83,31,32233,"Jacksonville, FL",422,74,18%,31,13,9,25,13,8
84,32,32224,"Jacksonville, FL",769,133,17%,27,18,10,22,14,9
85,33,32080,"Jacksonville, FL",1214,197,16%,27,21,11,19,13,10
86,34,32034,"Jacksonville, FL",1507,243,16%,25,23,13,18,12,10
87,35,32003,"Jacksonville, FL",676,109,16%,25,24,9,17,13,12
88,36,32217,"Jacksonville, FL",436,70,16%,35,11,6,27,14,7
89,37,32250,"Jacksonville, FL",695,107,15%,26,18,11,21,14,10
90,38,32086,"Jacksonville, FL",968,148,15%,33,15,3,24,15,10
91,39,32259,"Jacksonville, FL",904,136,15%,23,30,13,13,11,11
92,40,32095,"Jacksonville, FL",544,77,14%,24,25,13,15,12,10
93,41,32082,"Jacksonville, FL",962,136,14%,21,20,26,13,11,8
94,42,32081,"Jacksonville, FL",696,92,13%,17,34,19,10,10,10
95,43,32256,"Jacksonville, FL",908,108,12%,28,12,6,30,16,9
96,1,33109,"Miami, FL",82,50,61%,11,0,67,15,0,7
97,2,33127,"Miami, FL",316,176,56%,60,2,0,27,8,2
98,3,33035,"Miami, FL",660,329,50%,43,7,1,29,13,7
99,4,33149,"Miami, FL",722,328,45%,23,16,34,12,9,6
100,5,33154,"Miami, FL",971,441,45%,30,15,19,18,11,7
101,6,33150,"Miami, FL",266,114,43%,61,3,1,26,7,3
102,7,33136,"Miami, FL",70,29,41%,57,3,1,28,8,3
103,8,33142,"Miami, FL",447,180,40%,63,1,0,27,7,2
104,9,33130,"Miami, FL",866,333,38%,44,9,5,23,12,7
105,10,33137,"Miami, FL",1019,389,38%,35,13,9,22,14,8
106,11,33161,"Miami, FL",630,240,38%,53,4,1,28,10,4
107,12,33166,"Miami, FL",411,153,37%,39,12,5,24,13,7
108,13,33140,"Miami, FL",1136,420,37%,29,15,21,17,11,7
109,14,33162,"Miami, FL",491,180,37%,53,3,1,29,10,4
110,15,33169,"Miami, FL",441,157,36%,48,4,1,31,11,5
111,16,33160,"Miami, FL",2753,972,35%,38,11,11,22,12,7
112,17,33181,"Miami, FL",530,186,35%,44,8,6,25,11,6
113,18,33131,"Miami, FL",1723,595,35%,23,21,19,14,13,10
114,19,33034,"Miami, FL",214,73,34%,61,2,0,28,7,2
115,20,33054,"Miami, FL",293,94,32%,58,1,0,29,9,2
116,21,33147,"Miami, FL",429,134,31%,60,1,0,28,8,2
117,22,33141,"Miami, FL",1158,340,29%,42,8,6,26,12,6
118,23,33132,"Miami, FL",946,274,29%,29,16,9,20,16,10
119,24,33167,"Miami, FL",140,40,29%,54,3,0,30,9,4
120,25,33180,"Miami, FL",1766,503,28%,32,16,13,19,12,9
121,26,33133,"Miami, FL",1011,286,28%,32,13,18,19,11,7
122,27,33125,"Miami, FL",405,114,28%,58,2,0,28,9,3
123,28,33139,"Miami, FL",2036,569,28%,34,12,13,21,13,7
124,29,33135,"Miami, FL",195,53,27%,60,2,1,27,8,3
125,30,33168,"Miami, FL",264,71,27%,55,3,0,29,9,3
126,31,33143,"Miami, FL",719,193,27%,31,13,17,20,12,7
127,32,33126,"Miami, FL",520,139,27%,52,3,1,29,11,4
128,33,33012,"Miami, FL",628,159,25%,55,3,0,29,10,4
129,34,33179,"Miami, FL",947,239,25%,44,6,3,28,12,6
130,35,33129,"Miami, FL",546,135,25%,29,17,14,17,13,9
131,36,33156,"Miami, FL",925,216,23%,27,15,26,15,11,6
132,37,33016,"Miami, FL",533,124,23%,50,5,3,29,10,4
133,38,33146,"Miami, FL",322,74,23%,21,17,34,12,9,7
134,39,33178,"Miami, FL",1548,336,22%,41,13,6,22,11,7
135,40,33010,"Miami, FL",214,45,21%,61,2,0,28,8,2
136,41,33056,"Miami, FL",283,59,21%,50,3,0,31,11,4
137,42,33172,"Miami, FL",526,107,20%,48,4,1,29,12,5
138,43,33145,"Miami, FL",439,89,20%,43,10,4,25,12,7
139,44,33170,"Miami, FL",174,35,20%,50,6,1,26,10,5
140,45,33138,"Miami, FL",740,146,20%,40,12,10,22,10,6
141,46,33055,"Miami, FL",403,79,20%,52,3,0,30,11,4
142,47,33014,"Miami, FL",440,83,19%,45,7,3,28,12,6
143,48,33134,"Miami, FL",859,160,19%,34,13,14,21,11,7
144,49,33033,"Miami, FL",1133,209,18%,48,6,1,27,12,6
145,50,33032,"Miami, FL",908,166,18%,47,6,1,28,12,6
146,51,33015,"Miami, FL",724,132,18%,43,7,1,29,13,6
147,52,33013,"Miami, FL",265,46,17%,57,2,0,28,9,3
148,53,33155,"Miami, FL",619,105,17%,41,11,5,24,12,7
149,54,33157,"Miami, FL",990,167,17%,42,11,6,24,11,7
150,55,33030,"Miami, FL",377,62,16%,57,5,1,25,8,4
151,56,33176,"Miami, FL",830,136,16%,34,14,10,22,12,7
152,57,33174,"Miami, FL",319,51,16%,50,5,1,28,11,5
153,58,33144,"Miami, FL",250,39,16%,51,5,2,28,10,5
154,59,33018,"Miami, FL",689,107,16%,44,8,2,28,12,6
155,60,33190,"Miami, FL",305,43,14%,39,9,1,28,15,8
156,61,33189,"Miami, FL",432,60,14%,42,9,2,26,13,8
157,62,33183,"Miami, FL",561,76,14%,42,9,2,27,13,6
158,63,33173,"Miami, FL",535,67,13%,36,13,6,23,14,9
159,64,33165,"Miami, FL",589,72,12%,46,8,2,26,12,6
160,65,33193,"Miami, FL",625,74,12%,45,8,2,27,12,6
161,66,33186,"Miami, FL",1137,124,11%,36,13,3,24,14,9
162,67,33177,"Miami, FL",647,67,10%,47,6,1,28,12,6
163,68,33196,"Miami, FL",755,74,10%,40,12,3,25,13,8
164,69,33187,"Miami, FL",262,25,10%,42,13,3,23,12,7
165,70,33175,"Miami, FL",549,52,9%,44,9,3,26,12,6
166,71,33185,"Miami, FL",391,35,9%,37,15,4,23,13,8
167,1,32805,"Orlando, FL",241,108,45%,62,2,0,27,7,2
168,2,33897,"Orlando, FL",95,41,43%,40,7,1,31,14,7
169,3,34758,"Orlando, FL",865,342,40%,47,3,0,33,12,5
170,4,32811,"Orlando, FL",611,237,39%,55,1,0,33,8,2
171,5,32839,"Orlando, FL",488,180,37%,52,2,1,33,8,3
172,6,32808,"Orlando, FL",678,247,36%,56,1,0,32,8,2
173,7,32810,"Orlando, FL",534,186,35%,43,5,1,32,14,6
174,8,34759,"Orlando, FL",148,50,34%,43,7,2,31,12,6
175,9,32730,"Orlando, FL",104,33,32%,40,7,1,32,13,7
176,10,32809,"Orlando, FL",383,116,30%,52,4,2,29,9,3
177,11,32826,"Orlando, FL",371,112,30%,50,7,1,25,11,6
178,12,32807,"Orlando, FL",498,145,29%,47,3,0,33,12,5
179,13,34747,"Orlando, FL",2568,723,28%,34,12,7,27,12,7
180,14,32703,"Orlando, FL",1006,279,28%,40,9,2,28,14,7
181,15,32818,"Orlando, FL",486,129,27%,50,3,0,33,10,4
182,16,32817,"Orlando, FL",538,142,26%,42,10,3,26,12,7
183,17,32835,"Orlando, FL",1068,281,26%,40,8,4,30,12,6
184,18,32714,"Orlando, FL",815,204,25%,37,8,2,32,15,7
185,19,34772,"Orlando, FL",610,150,25%,33,12,2,27,16,11
186,20,32819,"Orlando, FL",777,191,25%,34,14,9,23,12,8
187,21,32822,"Orlando, FL",941,231,25%,48,3,0,34,11,4
188,22,32712,"Orlando, FL",1045,254,24%,33,16,4,24,14,9
189,23,33896,"Orlando, FL",656,157,24%,36,9,2,29,15,8
190,24,32757,"Orlando, FL",641,153,24%,32,15,5,24,14,10
191,25,34746,"Orlando, FL",2138,505,24%,45,6,1,30,12,6
192,26,34741,"Orlando, FL",805,190,24%,52,3,1,31,9,4
193,27,32789,"Orlando, FL",808,189,23%,26,15,24,17,12,7
194,28,32792,"Orlando, FL",910,212,23%,37,11,4,27,14,8
195,29,32726,"Orlando, FL",401,93,23%,41,8,2,28,13,8
196,30,32825,"Orlando, FL",993,230,23%,39,9,2,29,13,8
197,31,32821,"Orlando, FL",452,104,23%,44,5,1,32,13,6
198,32,32837,"Orlando, FL",968,222,23%,40,9,2,28,13,7
